County + State,Total number of voters,Result,% bachelor's degree 2014-18,Population Change 2010-2019,Percent in Poverty,Estimate Median Household Income,Known Number of Cases per 100k
"Howard,MD","142,469",30,61.4,1.12841,5.2,"116,719","2,181.80"
"Bulloch,GA","30,010",62,27.4,1.12825,22.9,"43,766","4,069.90"
"Richmond,VA","4,091",63,38.5,1.12792,15.9,"49,399","4,211.50"
"Richmond,VA","4,091",63,38.5,1.12792,22.3,"48,747","4,211.50"
"Richmond,VA","4,091",63,15.7,1.12792,22.3,"48,747","4,211.50"
"Richmond,VA","4,091",63,15.7,1.12792,15.9,"49,399","4,211.50"
"Richmond,VA","4,091",63,38.5,1.12792,15.9,"49,399","2,672.80"
"Richmond,VA","4,091",63,38.5,1.12792,22.3,"48,747","2,672.80"
"Richmond,VA","4,091",63,15.7,1.12792,22.3,"48,747","2,672.80"
"Richmond,VA","4,091",63,15.7,1.12792,15.9,"49,399","2,672.80"
"Douglas,WA","18,264",63,19.2,1.12762,10.4,"65,912","2,968.10"
"Johnson,IN","77,784",67,31.8,1.12760,7.7,"69,880","3,522.20"
"Bryan,OK","15,944",78,22.8,1.12717,16.6,"43,445","5,142.20"
"Llano,TX","13,278",76,25.7,1.12717,12.3,"54,019","1,179.20"
"Wahkiakum,WA","2,675",59,19,1.12679,10.9,"55,692",267.4
"Erath,TX","16,837",82,29.7,1.12624,18.1,"47,087","2,901.80"
"Walton,GA","50,759",75,19.9,1.12621,11.9,"65,416","2,779.30"
"Burnet,TX","24,646",77,25.1,1.12612,11,"56,696","2,693.40"
"Grayson,TX","58,760",75,20.5,1.12540,12.3,"51,403","2,736.20"
"Spencer,KY","11,410",77,20.2,1.12499,7.3,"85,899","2,692.40"
"Clayton,GA","103,553",15,19.5,1.12459,17.6,"46,059","3,185.90"
"Union,OH","32,838",66,33,1.12435,5,"84,861","2,570.00"
"Bandera,TX","12,703",80,23.8,1.12418,13.4,"53,008",930.3
"Pennington,SD","57,518",63,30.7,1.12378,13.3,"58,738","6,564.70"
"Salt Lake,UT","338,605",42,34.5,1.12339,9,"73,619","5,989.40"
"Culpeper,VA","26,915",60,24.7,1.12313,8.7,"72,111","3,524.40"
"Spartanburg,SC","147,309",64,23.8,1.12311,13.6,"53,567","3,489.20"
"Clay,MO","126,618",52,32.7,1.12260,7,"68,943","1,646.30"
"Houston,GA","74,794",56,27.3,1.12237,12.1,"60,728","2,580.70"
"Pottawatomie,KS","12,806",74,34.5,1.12224,8,"69,975","2,419.70"
"Riverside,CA","432,413",44,21.8,1.12217,12.7,"66,793","3,157.60"
"Orleans,LA","177,670",16,36.8,1.12184,23.8,"38,855","3,812.40"
"Hernando,FL","109,176",65,17.5,1.12113,14.1,"45,884","2,289.60"
"Weber,UT","69,750",57,23.8,1.12097,9.4,"68,106","4,104.30"
"Twin Falls,ID","36,680",73,20.6,1.12036,13.6,"51,594","7,146.80"
"Lincoln,MO","28,814",77,15.9,1.12034,10.6,"62,238","3,511.10"
"Marshall,TN","14,862",75,14.3,1.12018,14.1,"51,868","4,541.10"
"Alamance,NC","84,710",55,24,1.11938,13.5,"50,480","3,765.60"
"Boone,KY","64,582",69,31.6,1.11902,6.4,"77,696","2,739.90"
"Volusia,FL","307,578",57,23.6,1.11901,13.2,"50,285","2,653.40"
"Lake,CO","3,938",40,34,1.11881,12.6,"51,802","2,719.30"
"Medina,TX","22,568",70,19.8,1.11862,12.3,"59,304","2,632.60"
"Whitman,WA","14,774",45,49.5,1.11849,25.4,"45,389","4,187.30"
"Bonner,ID","27,352",69,23.1,1.11826,14.1,"51,373","1,768.70"
